,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
b0001,-0.011296492051463844,0.08543197477494711,0.00960566763025493,-0.00248115571434809,0.007910612101395714,-0.008454224405471954,0.004944678974252255,0.007415483615932618,0.0022658354405523063,-0.0011372389058205202,0.0017595803900410034,-0.01110731337928998,-0.0010463638652834898,-0.008137349752892787,-0.011872792445888018,-0.0005311412496781496,0.0027697739472595313,0.008187717160037978,-0.00797368709571917,-0.0036771014124211167
b0002,0.011514892478373473,-0.00904933092891148,0.005409035446199941,0.014679326912316467,0.025345442830873963,0.004784559491092165,-0.0014916360404845243,0.0020832974467364473,-0.00662092721584091,0.008406339604553663,-0.03743915013335172,0.00262102288281637,-0.006890162072199987,0.0038727500214290125,0.0005395094494145749,0.004055543489103304,-0.010653871123554225,-0.011820958371140357,0.04228220567309568,0.003886846285040879
b0003,0.006909980875525124,-0.0046942094915981645,0.005825513813959704,0.016587534178390713,0.017780223807603617,0.005314241797314047,0.0007331524932798697,0.001384204673480822,-0.011804319010325153,0.005165480372599579,-0.02678048645463663,0.005195948460072212,-0.004507238874168517,0.008416402972384019,0.0007451622669036686,0.006801784306506748,0.005310380802432866,-0.020094861474301087,0.03600004275746595,0.003992112178466155
b0004,-0.00011960915074493856,-0.004259752361988761,-0.0015147020755056795,0.009482236765658177,0.023505640042972904,0.004614375615563094,0.0020196748218806212,0.006423561436329683,-0.015139683526928746,0.005237388153099161,-0.02675297928679714,0.007429605931324534,-0.0067768302590537665,0.00893540935844392,0.0021510194426454057,0.009028263132227533,0.003097493102218642,-0.014421122247583497,0.03892606523103275,-7.827569586602251e-05
b0005,-0.01008035343713838,0.00025383287631486465,0.004177369073335815,0.01933514405274597,0.009883881206417094,-0.00787039528630717,-0.001957044845954773,0.024372738355702687,-0.006083307192399494,0.07146205248041618,-0.025823493183752814,0.001355040501056846,-0.015711928755276734,-0.003437062082822299,0.009669413285062602,0.016222484667097737,0.007074477837053234,-0.0581867631420489,0.025641143935451718,-0.006011013896182364
b0006,-0.005538276166307069,0.011215395409443038,-0.0024012284643817696,0.0006073032045197699,0.007484197471606466,-0.006862100519382053,-0.003826516987424031,-0.008061340369842102,-0.0013600916865865596,-0.008839622279879802,-0.01611463085564798,-0.0028691380801400103,0.0074803026646329185,0.005586027476553139,-0.010182942782418877,-0.0020449007094396838,0.008303270374994334,0.012129769492332302,-0.0022166635494402934,-0.0029291155721065457
b0007,-0.006752092934719072,8.195773990835491e-05,0.024858418571272783,-0.002602124626103847,0.0033353904257818557,-0.0034737470301866194,-0.003437948836988841,0.02039747622751615,0.000518512117995487,-0.031077186856564094,0.014689241528330638,0.03184916900339375,-0.007022485467793159,0.008770701242802206,-0.014279367912212088,-0.0061145858773376345,-0.0038227592957432895,-0.006393535452669182,-0.014330001932842933,0.0009086342671483677
b0008,-0.005795315351619838,0.006402399367346656,0.006997951753998035,0.0048219297916812206,0.005989581481801861,-0.007501477545598279,0.0019482143596213544,-0.03002198366518018,-0.019227557359869085,0.004559277623514911,-0.02631466148419461,-0.0029601773694097415,-0.0012176973828595633,-0.008399272196730506,0.0020746711362815973,-0.002629771058156334,-0.0012844793191022538,0.00792840460599781,0.0030584566188657193,0.0008137630069978061
b0009,-0.0003584627976429304,-0.014729045039764332,-0.0034981427989098017,0.008705887884608502,-0.007608280355042575,-0.01017420373793213,0.0011306226426257054,-0.012552900233508026,-0.020885487301755018,0.011189101812741168,-0.006000404739549117,0.0018839184103573992,0.002335280696648682,-0.010520532671085875,0.007368072106638609,-0.009432428071362818,0.0011200297983078476,-0.008189637861371139,-0.010740010549007297,0.004533957507177068
b0010,-0.00780531837112729,-0.014973015836326247,-0.028671705574299256,0.004884601305607527,0.0009659764633778663,-0.007689930893135494,-0.0003908610942570991,0.006591856702803982,-0.015454737880511138,-0.008184648888986543,0.010664772229771025,0.0018120026550245858,0.0015977200112891115,-0.05963739709229446,-0.011480478445167233,0.006373780656321254,-0.007602833204616587,-0.0068072279908207665,-0.013709681141651216,-0.013799663997419179
b0011,7.122863837388093e-05,0.011632861474989514,0.0064270192734041985,0.019760735039861945,-0.010519998765999865,-0.006161173695513629,-0.006842282361545979,-0.011485309607606546,-0.002568438268753237,0.008708990589575078,0.010727255425254845,-0.0023906374696114696,-0.017693325276798712,-0.01295828183000152,-0.0031402997390789053,-0.0011498707097628241,0.005248883071204741,-0.001215985214173355,-0.0002724841559740878,0.0016725465052538702
b0012,-0.0060658304555168,-0.011706866085767636,0.0040363843509864114,-0.015157074499337661,0.0034402933709433542,-0.011669257015914479,-0.0002282157222520606,0.010485345185796451,-0.007084263607226685,0.003075119819177023,0.006146709538159263,0.0015108543284404793,0.019225880389248422,-0.005370574387668191,-0.006101368403005658,-4.2541425177123924e-06,0.004754840665346772,0.0033886282675070563,-0.0074099957845861425,-0.0014534796101547595
b0013,-0.02686318639331799,-0.01565378289070672,0.005323131998253245,-0.008442415956405188,6.804526872480707e-05,-0.0159992687781679,-0.0019621715808893505,-0.00902984668261376,-0.0007757704828626889,0.0306421396850984,0.008712389912666344,0.004103426148735478,-0.019490626389380022,0.005354514640752349,-0.004189080273973485,0.012792545730082355,-0.009732314950264389,-0.012030477975160596,0.00486714131606158,0.00591819122885196
b0014,0.008495850559553025,0.011108902010932377,0.034687301398269914,-0.006096495844943596,0.0034342371195044594,-0.02951748554776429,-0.0027922212648937186,-0.06584353632222206,-0.020836452958581327,0.022325425296112734,0.009614111340294175,-0.010789972121146608,-0.023640561034843726,0.022442428067373323,-0.025462839870168095,-0.007332461401642668,0.09072790066640019,-0.017949772844653857,-0.0069315102943633515,-0.010567710780847605
b0015,0.004564872815870974,0.0005699701672528212,0.00971982998140446,0.0087861312659543,-0.0036615615553708064,-0.02429800782888181,-0.006573124273260076,-0.05006215872296448,-0.02534660517277954,0.007124247228922757,0.019357936805095743,-0.012195064922605667,-0.015272574541540136,0.021598495774753788,-0.020325095427156582,-0.006751478374593733,0.06885300704430258,-0.019011983207452714,-0.002724431876874498,-0.014333398859710538
b0016,0.007654384814165145,-0.0016571134850456154,-0.003260911850324581,-0.008300078403827614,-0.0020136410183148883,-0.015441947765671309,-0.008696493033841811,-0.019193176679323038,-0.011191921033198672,-0.008338002426049953,0.0017035866419288744,-0.009700248824962818,-0.0009643849251258976,0.00221973606869132,-0.0045360040431248845,-0.012276105280432862,0.0288929620014784,-0.006764184322520196,-0.004746106565940834,-0.006277336709311458
b0018,-0.00821387338904862,-0.00490009541040975,0.012506647749439295,-0.011116824260732652,0.0052879314539657895,-0.00870984262784954,-0.008461654467059808,0.005819872112532494,0.00219675206129358,0.012832373971628317,0.017749661286733453,0.01858474490964443,-0.01818802857517686,-0.012131356767340352,0.00937134915923118,0.022410755695165985,-0.016804910423699852,-0.004430156602587791,0.0014551391056777329,-0.004078030427144047
b0019,0.014287980659001009,-0.0009284461882792686,0.004795402883786191,-0.0001329551100196388,-0.005273926929617662,0.008135564762287497,-0.0018784675143641437,-0.004026251922772042,0.0022002973746621446,0.00040302429665160604,0.026158010077499284,-0.0063850933529440886,-0.023244260659095923,0.013999812948183686,-0.008964353182189494,0.014293729159600083,-0.03662402768588602,-0.011678098857080849,-0.007731108869084292,-0.012079095694031606
b0020,-0.003987964241137075,-0.009802515818581768,0.005909362004740844,-0.015236435947609931,-0.005015773143662272,0.011075128864004802,-0.0032167734765089647,0.001549109177517845,0.0036380817440007265,-0.017070396321795144,0.009953195002172347,-0.004607200103141771,-0.008472966375544096,0.007127183066101021,-0.012267117558977837,-0.004752586917517396,-0.008843206644546029,-0.014336580619076087,-0.005194457908968269,-0.008568230967154925
b0021,-0.0007785279515540939,-0.010364810804959107,-0.004413474500522776,0.014233303256012662,-0.006152422465627348,-0.02190794409360256,-0.014226077332193325,0.03777456929722515,-0.0002912850008204372,0.00015250552333236967,0.013503343585979197,0.005504005118823587,0.011777207867991208,0.007068163821406184,0.0032977672809416645,0.010221557550455106,-0.018231720377204063,0.012205622861184038,0.001987957195380118,0.0037420035530413964
b0022,-0.015572314885019659,-0.014069910475922306,0.006606681988055869,-0.0005477205884858678,-0.0028804885087967487,-0.015176113138044059,-0.014328485091777646,0.05712522137646025,-0.0012696341321858605,-0.005084507244033796,-0.00464041569620398,-0.004641577089488212,0.010645718530781449,-0.003078610568861579,0.0020841017758258884,-0.010964544994383688,0.007661002392960752,-0.002040377261303297,-0.004499330517578627,0.003912778005186999
b0023,-0.011591528037540771,0.016086869442755457,-0.05736295025480671,0.010983826012588644,0.007414002878527651,-0.001243623973109328,0.00024261687563140204,0.01900737747329208,0.012192859817765772,-0.013419805516939212,-0.00921826323938123,-0.004657553216827659,-0.016065982158225783,-0.032033008320689824,-0.002257098931954094,0.006670675892656667,0.02601844142600359,0.004741646648156658,-0.000654984187546991,-0.0016500797407112352
b0024,0.009417695461608743,-0.01335899863197541,0.022270901351726154,-0.002452969127284356,0.0041354726819238605,0.009088146820230722,0.0004989689451420677,0.019459649342730242,-0.006128049897521076,-0.02134257825812909,0.012928860812349804,0.009510706276427944,0.005110566701826919,-0.009357446172866508,-0.006117257716222263,-0.006572717656536626,-0.004734988954799214,0.00013854315556201542,-0.007396989428219413,-0.001072246560906199
b0025,0.007267586126481618,0.0009652013289772213,-0.007438528860308161,-0.0036531475202917756,-0.001278430577696695,-0.0003287385326620283,-0.0018029222111921397,0.0017576933810095818,-0.000620639963621188,-0.012883008828721485,-0.008139229738370288,0.003302897470868304,0.00677059593603292,0.01629650427796114,-0.007020921886007387,-0.0037352244633870337,0.021284910707501374,-0.005196378853511348,-0.004529515912189241,0.0005312762454917304
b0026,0.011193024580172252,-0.003348278808206713,-0.0030186755362403075,-0.003869515236291863,0.007436914476359401,-0.002278458766133717,-0.0008673635557509526,-0.003147010039318853,-0.021552612226810906,-0.00029718172144343634,-0.016766802147798146,0.004799378725385152,0.008048067246398073,0.011557842236699182,-0.00443749895443689,-0.00938567068432429,0.00023992606707245055,-0.001461607011237274,0.0005669548589253829,-0.0002741492187020829
b0027,0.01700096805595163,0.0025508776461359716,-0.005652316824316013,-0.0048419492941681585,0.0056126537023629365,-0.004608218804993037,-0.003908381361773466,0.0013289213590384832,-0.014835601292305026,-0.009356286578830784,-0.011066452463097398,0.005408812954115038,0.015355314700944063,0.01528231286476162,-0.005106821599039306,-0.004056251654331013,-0.0009771618361673882,0.0024582823352733174,-0.0033773700528095256,-0.0035128479177916824
b0028,0.0023246474777333195,-0.0145644643927,-0.013713375708126752,-0.006469266134020304,0.010339998343754745,-0.0019776963896813824,0.0014995224230303964,0.006956046918422518,-0.023237857852070342,-0.010001412541684367,0.0006514335168897544,0.004023801157631993,0.007835643834668178,0.01200957823581067,-0.00431395772237024,-0.0035067512537425567,-0.006125704794583586,0.003664594941031982,-0.0004715791108379001,-0.005044867439813539
