,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
b0001,-8.423062246060817e-05,0.0061869876854016405,-0.00518876788335834,0.002158991207761524,0.014151278605502974,0.013172470104600435,0.011084824942365203,-0.00423399196916766,-0.0024926828096431325,-0.012910727269686034,0.014372465890974266,0.0007852966530208498,0.004773154193554776,-0.023068942750304595,-0.004055165543795662,0.009693240915350477,-0.008912099280469193,-0.014189497500321346,-0.00665181563450869,-0.0013855426310760354,0.0037782968614829965,-0.005953633096271026,0.007502240372756676,-0.010032713865096536,6.192150453505977e-05,-0.005476570192527128,-0.008372416357052472,-0.010362269064658826,0.008798512264304581,-0.01095063220193074,-0.004061683214020305,-0.0009543328434683308,0.0020841616413694985,-0.005222538190037501,-0.0009683722748305146,0.09228092858433748,0.01085716321222699,0.0033411663258370128,-0.0006251301735540884
b0002,0.021599570694121988,0.041986900927528575,-0.002623232979570418,-0.01030611934280702,0.037538836596122366,-0.005005717989018955,-0.012369309530893933,0.019927335752638463,0.022082918347048414,0.0010210464639381985,0.024534255808917896,-0.02105126936178092,-0.0010289768635269273,0.0025860514817139233,0.002221362566011196,-0.007705558685785038,-0.01607054307521876,-0.02767292735773942,-0.002443345708472112,0.0006853610523216909,-0.009643177073267544,0.012546535279746425,0.004570690749325284,0.01385305095074757,-0.0241070517159082,0.002601118758641764,0.0014256120854316413,0.0009994517177728535,-0.013109044489177015,0.019691942501697538,-0.010084354556729092,-0.003322312465104588,0.003839926925427286,0.03080943709461499,-0.0034085448005330707,-0.015089155886443115,-0.02051638129720506,-0.014581482941863969,-0.002987731454255426
b0003,0.023989197332852638,0.030948458176216307,-0.002352876067384468,-0.010413063754587537,0.024192239994756354,-0.010933694227691897,-0.009658013920111033,0.015783389700807192,0.028315351616938204,0.004180533797603299,0.022865214301264473,-0.02044166321770148,-0.0008691938822088807,0.0031970146700997432,0.007310489197136707,-0.01555508029283841,-0.021896150842500493,-0.025772977106020015,0.013944156979432023,-0.007376849358895531,-0.0045762823338854645,0.016197918406288897,0.005209690793409077,0.013300414626336441,-0.013023803163511073,-0.0033329024707607845,0.0019221256095383345,0.00656518982219702,-0.013688234086357711,0.013761176568158744,-0.005116898351043752,-0.010751353381646777,-0.0039494731238350084,0.027939509052071876,0.0010712219281194593,-0.010762639565925746,-0.002371275613059359,-0.005246616543643357,0.0018252456559488654
b0004,0.020580698518305542,0.03306005985180274,-0.0023485934727976603,-0.007264585159944697,0.019007640311838218,-0.011725106317663943,-0.006449565950253953,0.020601911317273104,0.021108995045920214,0.005919847048833538,0.024681662546426474,-0.023027267926978186,0.006122794263853672,0.0008892589978540295,0.006114979753501201,-0.012550837733907111,-0.02643350992247842,-0.03247879065156434,0.006041005241142436,-0.009630800698081301,-0.0025257018046088674,0.013273942474834374,0.006495050370005886,0.013484738312494181,-0.009086189962538899,-0.003203786213156094,0.0039470755710048055,0.0037157380875655404,-0.017711264943626147,0.01896219134527087,-0.0007736345416971551,-0.009895018982361265,-0.005451121438161555,0.027354920814885574,0.005420772617825308,-0.011033281694914604,-0.004938546864609821,-0.0022979059746422122,0.0056114985837842565
b0005,0.03718822173410638,0.018128025674257187,-0.01312507594462946,-0.014907400287980491,0.01740872227675417,-0.0532183024766019,0.0029530235131616732,0.0012193724650475532,0.03489952825717129,0.012342461355930114,0.006579987507982847,-0.027747949313515888,0.013614796903980802,0.024302725898885214,0.002438001242972388,-0.02260558685275113,-0.002531531594568165,0.0009097113533826551,0.007054572651282001,-0.03713537610292023,-0.01794752511178756,0.013893763220553232,0.01063174666191489,0.017682811600542275,-0.016982967502474012,-0.007551226810230293,0.05795108348936597,0.022691252707149504,-0.022998864867691808,0.01762650389771139,-0.008890296037258046,0.007349621812785566,-0.0027717881824358397,0.016363349775839343,0.0180044089231971,0.01228042272817096,-0.00810618598711524,-0.018631144673865164,-0.01981129309409151
b0006,-0.004569655999393845,-0.006617832319738034,-0.005489742024753302,8.21344767634642e-05,-0.004155693755813905,-0.014760713241782172,-0.004736023377223626,-0.000280643788271406,-0.007534368160314615,-0.0008577689720489241,0.02206656569837813,0.005610554702753814,0.005425752796527958,-0.0025629470027911283,0.00047375743123260485,0.0019363832588527995,0.0019957990203576114,-0.01504882602105413,-0.0005559667085391886,0.01899051365346482,0.006503081634415315,-0.009155585398658326,0.01032026074768202,-0.0002651804523936734,-0.0077854518069117844,0.0037574316740213005,-0.00822945059772859,-0.00195191948579512,0.0026690877429444235,0.002843513163042275,0.004676578127070191,0.0019432551430133174,-0.0018030696794940338,0.0019011231565386661,0.0030431005532279933,0.001970547701925141,0.008431051215053064,-0.0011422621146990673,0.0025754697466188452
b0007,0.010841499212783988,-0.019577837414163125,0.006319300903949694,0.00515439369308649,0.02157518597865458,-0.015819659848113933,-0.007487564079204979,-0.006436574526128955,-0.017541509880183437,-0.004476774723325646,0.00475331080241922,-0.0011688381282530952,-0.009921698223549689,-0.00712596119702311,0.002961281339393473,0.006202758944510202,0.005684116146269425,0.00917563394834198,-0.0058386635984788975,-0.020568614579054,-0.0070216032732313555,-0.012330303794217989,-0.007655807282390378,-0.0010075986176234526,0.011737025333283167,0.0008476173528481193,-0.0354995732599872,-0.011524400638966582,0.0006605058084300101,-0.004234171565423543,0.039110418090300025,0.013570254294562668,-0.002932787599874585,-0.00048330595940687356,0.0001875808221639708,-0.0004898431944635666,-0.004340840784453103,-0.005113669202895596,0.004204254328463593
b0008,0.015229148681207645,0.0017046291760122873,-0.011782790299073448,-0.006365535514397485,0.00340321017175969,-0.0024747838825014473,0.0039063857133101385,8.253647300685354e-05,0.004664110847345057,0.004508355934187373,0.006871707582932752,-0.00027530847437172337,-0.004790408889402335,0.0001587855592386718,0.003811758527381228,0.005299300127791852,-0.013565717368704313,-0.03651532347955458,0.0020863810426131235,0.02656241018974043,0.0025256472792109597,-0.006871900824236415,-0.0029973589213721347,0.00529002252048046,-0.006338329604509057,-0.0022447178101096974,0.0075533313947414036,0.009984130852652484,0.011020679270358408,-0.01777768804973153,-0.004262597512131137,0.006165390234732966,-0.013128686404936796,0.006359337262569472,0.0035633600439833636,0.0006035896454302712,-0.006473698870892831,0.007267418861207943,-0.00034336379373350764
b0009,0.010013321654890902,-0.0025106312549445916,-0.006719882089189802,-0.0028596208287302795,-0.0014341593115371851,0.002780896637269176,0.0001857505561877849,-0.002087849612726724,0.008722533862226428,-0.0065612256150261025,-0.012648253094409435,-0.0021912096509556257,-0.007142001303731827,-0.009590817631585863,0.0028289490712813197,0.002461009419864276,-0.013143064739727251,-0.0030854590956322214,0.005444900171119326,0.003379188959393177,-0.0072632694027618665,-0.004662218883591542,-0.00961472142476757,0.002718182395026929,-0.008364511959334258,-0.014950388026069739,0.01053951365554895,0.009254245154368106,-0.0007017692345137417,-0.01176233074840465,-0.002396907353647353,-0.0011574771088918511,-0.018831645029020194,0.002000508723063696,-0.001014289178048769,-0.012721672321933513,0.00447815036813575,-0.004062792108254128,-0.01861570155223938
b0010,-0.016889220017870864,0.0033392666537296165,-0.010366055725992364,-0.00015880710697166673,-0.019141552258584778,0.00952845978388636,-0.015632540703890547,-0.008046142228194697,-0.008152442175349429,-0.012244194362881839,-0.009424951235777536,-9.441855141557724e-05,0.013223898040655985,-0.011677540437822891,-0.011082179092511756,-0.019582025095721968,-0.007110817838375768,0.005950548345408336,0.005369454106519627,0.01550083903421997,-0.007289775382759425,0.01021295023467455,-0.0015867737447591798,0.005350419215547505,0.017050911324861022,-0.0010923414800231084,-0.0012893637220072118,0.0014350056081734288,-0.029553995300294063,0.009455466730666226,0.006523767816372822,0.03151680510663369,-0.027138138831947864,-0.003619415378440887,0.008419539002210992,-0.006528911749064789,-0.0020250236154410674,0.03134518498283933,-0.018388527143191256
