,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
b0001,-0.008842156192978559,-0.0005246903808328355,-0.003666414849848807,0.005521500047795337,0.005580813368552491,0.005437004768159577,0.002701732841483045,-0.02165414021594754,-0.00357150413728155,0.001954175988736674,0.008930113371430579,-0.007941688216853562,0.009090963519716982,-0.008520767221137635,0.005294218452491466,-0.0038508728204957646,-0.024060058488618315,-0.009384935084915398,-0.0008800229502561558,0.0029146259566667347,0.00018855830512589896,0.08748006154562092,-0.0004487669808231355,-0.008957159666761368,0.002999125940085127,-0.012136155641192525,0.0010404521671218238,-0.004346172143099987
b0002,0.00854397137871718,-0.0026943350536441524,-0.00840161506497243,0.01572541162306338,-0.007452951052617157,0.04808175229119447,-0.022758639761927553,-0.002455160485015711,-0.0009699796723065098,-0.014800892549346073,0.0034944429471135924,-0.0028471871312313107,0.028522566258618015,0.0008647658864316271,-0.001825538200056727,0.003085546147161425,0.00038789501730653226,-0.006738814708882658,-0.01068199462832034,-0.02197983390356689,-0.002016892208849403,-0.007038985495975001,-0.004482981367793879,0.00034579359305279904,0.017150125106298063,0.04722564697007386,-0.011083823931528822,0.0023728136382561316
b0003,0.01115583852719668,-0.0035491755401618565,-0.013329927862130869,0.016779358391561645,0.007979572488383851,0.03370468125784685,-0.016936136754381978,-9.121146897450443e-06,-0.001924099973374716,-0.010163323124614994,0.0039503527794504155,0.003262899992127001,0.023064392388876802,0.002688094685297312,-0.0022815781842620295,0.005560651641167711,0.00348626522153952,-0.004186731537497805,-0.0014555367581297607,-0.017690876106042235,-0.003757322584981301,-0.0036149751578415557,-0.004049109029268073,0.0002640056412291655,0.025283673870023622,0.03804094350645641,-0.017222489449905013,0.0004176003158118412
b0004,0.012625207988273294,-0.0016058835762345347,-0.0159178757230693,0.011834464249606706,0.007053182722330128,0.03308020153230225,-0.016766272997432094,-0.0040240597755674245,0.0016316913909645502,-0.005231156169346791,0.0070245607202809295,-0.0021856114929885693,0.016555397912386888,0.003552370272899387,-0.003905869419216972,0.0031065895993726573,-0.0009591027794802692,-0.001800524496006079,-0.003247160055295274,-0.020009983263369186,-0.0005469873864513266,-0.004773127104688863,-0.0018865444920325052,-0.004544373632255576,0.01753063249032751,0.04267365455405889,-0.017234551837201514,0.0016934666165907472
b0005,0.02809943009371157,-0.005453354479432911,-0.0023609128176400036,0.020346391908387874,0.0023200276620882693,0.018174127253044063,-0.029776431781435367,0.022270721959255006,-0.0028557574685065864,0.012582034792443244,0.0017930296101482536,0.013931537705642929,0.02617435172630039,-0.011777410482345053,-0.005632446881920903,-0.001410518474690571,0.029639420380875144,-0.012140770637151663,0.0016521432749399064,-0.030909288009898866,-0.004835295840317097,0.009570037683670759,-0.008058330320017173,0.00805436961083367,0.02279717560565246,0.029740497144843604,0.017132326976658604,0.06435184025406122
b0006,-0.0005501295493283446,0.0016838415591548157,-0.001247477099271601,-0.021143116073240032,0.011185914247356704,0.010423990193152339,0.0027898780601002203,-0.002419357052485825,-0.01185759443184185,-0.0015230312184859951,-0.0025257049375213047,-0.0015611808140731252,-0.006033144093808029,-0.0016608567307807257,-0.0095263534381003,-0.0036869961045484538,-0.0054379181577365945,-0.001377206854567454,-0.0009317655785646847,0.008131400622592091,0.001364909798732113,0.010775084119246273,-0.0024501671821804743,-0.0030855940291951113,-0.005919279507552796,-0.0021983418172485465,-0.00413227240612535,-0.008441480896983905
b0007,-0.0046908553766173795,0.0002986198176260472,-0.0008461075843245004,-0.011199966269015562,-0.005702354638733543,-0.013642361888253149,-0.010551994467740623,-0.012149266362182082,-0.010466180929770546,-0.005890602215951179,0.00714647643508834,-0.002779282157182604,0.01739948844118033,0.0029854174731486233,0.011542201366442113,0.0006618288722203843,-0.007170716229132965,0.03674920036302705,0.020923592623473118,-0.00010107536967141409,-0.010891240526253584,-0.0022040796404654336,-0.00012693505203627988,0.003609526921530487,-0.018773796293276246,-0.013769908701246815,0.017873814127158185,-0.02977734317975084
b0008,-0.006335682866583577,-0.008168859342953545,-0.019827039434542042,-0.0035261951692459473,-0.0004210696412299718,0.015829522242182016,0.004396452598008537,0.007558494199746209,-0.006609609598919033,-0.008246703472142583,-0.006354968419405166,-0.0031209203862475553,0.009728559253880014,-0.011087861831494546,-0.023116712505068904,0.002948234441031221,-0.0006657696218903413,-0.0014253682374375952,0.0012583542694746882,-0.0035911914213126277,0.024498229359355517,0.013708383247127599,-0.0037461008340843385,-0.0031343438263616106,0.0031339527175722054,-0.0048565315275919,-0.008390328304691339,0.0036212614773374775
b0009,0.007711993076555614,-0.016870471462090555,-0.022391871525517415,0.006490764872812815,0.00016905918765155252,0.0032746158572760573,-0.004859473579968597,0.008345312573696813,0.0011631073843332747,-0.005285684656531464,0.0029548926851378035,0.0025406027781851386,0.004683615795382511,-0.011860276959488863,-0.00859883772549431,0.00436200493389732,-0.003689452050395782,0.0017758477353021192,-0.000811277012977711,-0.0011831185047542889,0.009655906234996353,-0.012063967197242833,-0.0030063080575363087,0.012150547169936353,0.0130234674578281,-0.012576071167499937,0.0017128979574565334,0.010307603082675941
b0010,0.029142018488812264,0.003982792755202048,-0.016646674678362776,0.004059969981503937,-0.005282658727403227,-0.03705414829014247,-0.01771620215040563,-0.004374037966993782,-0.008949187932228438,0.01303782697800399,0.01394493989901947,0.002938305882697125,-0.005730879585123874,-0.007752143481272599,-0.008819000185424768,-0.016085421242775077,-0.010089171635165387,0.0026790291488863294,-0.030373342949602124,0.007534689719219637,0.0251030993120744,-0.009949729293606444,-0.001914252078942507,0.0012217938890888257,-0.008095474068449167,-0.0010903184325165391,0.023120516688918815,-0.004827011787683626
b0011,-0.0024618315569154814,-0.0034254237326251345,-0.006546958238295493,0.005277866588406171,0.003493093246095426,-0.012656063641045429,0.0072097085512407705,0.00013023700522088477,-0.006766866042186376,-0.009369897149962331,0.014505966872977758,0.007021516975937839,0.009159907986032924,-0.0026216261127210956,0.011562326476480854,0.001503996302134807,-0.00032599719266836766,-0.002085759507542276,0.007871225902018698,-0.008702941287042385,0.012836683403060578,0.012874466697492468,-0.012088985991961244,0.012146270775338483,0.01658226612755777,-0.004000368158420676,0.002205677982732894,0.009789224388747656
b0012,0.00014088878160394634,-0.0060378495353425755,-0.00403546957964613,0.009720016246430804,0.0029480445674546795,-0.003544806675851884,0.006120376202924341,-0.0013880780818234342,-0.005322887147382234,0.0051587727125069465,0.0027044139735760892,-0.010135202338444331,0.006009526268322845,-0.012215092152504195,0.005300384349284303,-0.001391555776110359,-0.007173285724572687,-0.00046426362451149875,0.0005441861593935785,0.018792557996033743,-0.008674012230729068,-0.01562558446478907,0.003371815203222982,0.005040781253752598,-0.0113921752683943,-0.004484991386429489,0.010109966563216985,0.003673521291450535
b0013,0.0030601179103395227,0.006739475933876164,-0.000872200090585506,-0.005987261719704773,-0.00631020788271569,0.006932170998077378,0.007523950393147033,0.012614249364756296,-0.008448723017212969,0.04270971298731668,-0.014833481919095956,0.0005738549505332962,0.01311526872149066,-0.007755488362458979,0.009566617674822513,0.0032931853128660505,-0.0015040174481209961,0.002545572943909745,0.015443876358937379,-0.009577297282702006,0.022049626735198793,-0.0053632939216154965,-0.00417596204270681,0.007917171639143683,0.0040745037727188856,0.002068762965654771,0.0023908906858826785,0.024751037577330815
