,0,1,2,3,4,5,6,7,8,9
b0001,-0.0008999955762407542,0.009596739797367628,-0.058239410228987674,0.010600953887491335,-0.0042657903923074125,0.019365885359337434,0.007859913601599005,0.0013244566882775915,0.007319777123854282,0.0006885561281200388
b0002,-0.0027374018664742747,-0.0002256510994298969,-0.0005161657660048666,-0.007252521283143778,0.02944632049700389,-0.0006719499540988777,-0.02519324767349987,-0.018670783176777072,0.0355996915703559,0.010347486158320304
b0003,-0.002027491280019019,-0.0015873994494029547,-0.0037516110737278122,-0.01338952039248651,0.031487739814827324,-0.002209077609639966,-0.015406865137695774,-0.013255334036487768,0.03105555576338776,0.003265654775611463
b0004,-0.0023701869116642313,0.0016201387699489318,0.0006433105681266045,-0.015986309848271513,0.03484690340569433,-0.0011085683814544898,-0.012958089705066251,-0.010985405699417593,0.035328913915050844,0.0003667483218815656
b0005,-0.01337577630210985,-0.007191470528460035,0.011312023587368337,-0.002454133931809998,0.020033254074100795,0.06537284806934862,-0.013096249338748825,-0.009992356104376635,0.05116585897718416,-0.00986825801966509
b0006,-0.009421090617392592,-0.00351389621515507,-0.01369070108666873,-0.0033508267070765105,-0.0004166069985509282,-0.00660281137055779,0.007437266333162338,-0.010219735052011396,0.0058753607674057635,0.0015608159865521862
b0007,0.006302138323648799,-0.005740323235801964,0.007245112422334392,0.005008640665599792,0.002923974862529201,-0.02532760751170075,-0.0246900729631457,-0.00045201861764123134,-0.006940678399821471,-0.026628058024911427
b0008,-0.011868655624459386,0.002809600258797493,-0.018817883046684164,-0.020242249548568052,-0.01321280248377429,-0.0013880506676638405,-0.0014819435817497698,-0.007868710033450256,0.011951116256675599,0.004205599350318728
b0009,-0.012684264444387179,-0.0010435814386804464,0.010856558303124446,-0.022558812888070448,-0.017856738408076882,0.006405216261945869,0.001412348020963214,0.002078702641749966,0.0021741406746973338,-0.0005440056762490618
b0010,-0.006189466116705691,0.005749865390864387,0.043620950313308295,-0.01221328585598558,-0.019571064557246564,0.0015047992369759382,0.029170147352835286,-0.006632424563002186,-0.010311919894524077,-0.004789064083022997
b0011,-0.004442414263362755,-0.006867405362495431,-0.009741283024160611,-0.006384242445193575,-0.0017629210609539532,0.013711609876697027,-0.0009643482365040319,0.002897855319556361,-0.012354095697353533,-0.0024733513670543617
b0012,-0.005668934967009851,-0.000754918757933719,0.015309210979172403,0.0015403180782732557,-0.003473504860658358,0.0011992413099311918,0.003668951275925295,0.0008307557304045122,-0.006046312566972139,-0.0030933618584694806
b0013,-0.010044903968539546,-0.0017529084805453091,0.013298686409411432,-0.0030228315865542805,-0.00028637807172277464,0.02644246521068835,-0.01301308936069494,-0.0039060657077200113,0.0030242912772963496,-0.002514829015183119
b0014,-0.032510468757705684,-0.02226158701860227,-0.05714990361146286,-0.026827846241820063,0.027334685293117323,0.014965855478591854,0.04115918795133684,-0.001595175284071576,-0.02088107861958671,-0.00900907432931407
b0015,-0.025671513001950357,-0.018914189920358385,-0.03235366389257787,-0.035616403747547265,0.024873075834006234,0.0072387470079542165,0.0412279311886391,0.0026154911919923527,-0.0186942011000074,-0.006034417481775238
b0016,-0.016484884229645117,-0.012763172152783402,-0.010000207163775412,-0.012416246016902778,0.003802876982138215,-0.00870757609079553,0.026615349882407286,0.0012266662835493953,-0.004220500460681858,0.0020381599241780764
b0018,-0.0030560010962235214,-0.005711943809400525,0.010499867739156336,0.008175599877364671,-0.0012720661264444522,0.009973321125950674,-0.018457433437116658,0.01124371521972984,-0.00900453351264033,-0.015047631930833916
b0019,0.017128457080289865,0.004111431967158857,-0.00470921379083583,-0.0005549900141823945,-0.007344621654635143,0.0067164935660681754,-0.015341756993902007,-0.001847290032572143,-0.020848218064953856,0.005011028798994753
b0020,0.018969538630121203,-0.0020091175445133822,0.006809421077325583,0.005528148455779058,-0.003539120886323133,-0.014065960366359992,0.0035762414835178087,-0.007509388295577399,-0.0010320590399664768,-0.0020618623229665175
b0021,-0.01425321140405592,-0.008973098115700961,0.025913080976476915,0.002876726495012971,0.004663314909876217,0.005379620561860125,-0.025510203582822317,0.007908864623246283,-0.01210014146532049,-0.0038757407000029574
b0022,-0.006063694584920652,-0.0154348107177063,0.03721429157266368,0.011213870094983083,0.0029739941892070994,-0.0007650019380495387,-0.01176603883570616,0.005161709229464583,0.01382705737203982,-0.008255917751374891
b0023,-0.016260245239365388,0.0010935899663706155,0.021250868424185464,0.001189157381502948,0.012182922584614534,0.0019793480438986956,0.045971029127588985,-0.00516744569943702,0.011952785380157958,0.0020382093318989662
b0024,0.017321326114182807,-0.0003784389228109121,0.015845469194659217,0.003802841602144094,-3.749489056597677e-05,-0.020881599186098086,-0.015029994139431164,0.004687359288622086,-0.012728302889149981,-0.008181259298586924
b0025,-0.005583763227990617,-0.006980818722730575,-0.005580942993640941,-0.003974263066771275,0.009364013328010607,-0.013076612174070142,0.012992261671792465,-0.008054457005609963,0.00330736325361743,-0.003398802109840655
b0026,-0.00510706250671272,-0.0021241731845745553,-0.0048137592439299205,-0.021019219626332696,0.0019127549243528994,-0.00440168772463969,-0.003016166274198852,-0.009112497258301887,0.010338891392252338,0.0007626208218607896
b0027,-0.0069241928712767764,-0.003976684971373565,-0.008736422900304854,-0.013889666428082191,0.0019668402824298214,-0.010610957192689938,-0.0004518348317160596,-0.007432985053053872,0.0023177472660198695,7.688538985861415e-05
b0028,-0.0007988221089942947,0.0034326831062299634,0.01421307947995826,-0.023211397989435764,0.0051157608877985695,-0.00972014762114195,0.0005267038792731585,-0.0006449001847890501,0.0028799184702739786,0.0005198903181837525
b0029,-0.008057452005313019,0.0004987263306368827,0.002682221624316131,-0.01091806130353877,0.0023289661260372015,-0.003248334330117242,-0.0014168443663426628,-0.00535554762766126,-0.0018434107895791592,0.0022937442901885103
